gender_Pria,gender_Wanita,job_Karyawan,job_Mahasiswa,job_Pelajar,job_Tidak Bekerja,job_Wiraswasta,phone_dur_4 - 6 jam,phone_dur_Kurang dari 4 jam,phone_dur_Lebih dari 6 jam,app_dur_1 - 6 bulan,app_dur_6 - 12 bulan,app_dur_Lebih dari 12 bulan,h_w_inc_Tidak,h_w_inc_Ya,education_Tidak,education_Ya,earning_Tidak,earning_Ya,get_Ya,age,height,weight,photo_quan
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,21.0,174.0,76.0,3
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,20.0,170.0,77.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,21.0,155.0,55.0,3
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,20.0,181.0,83.0,3
0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,20.0,149.0,49.0,5
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,20.0,169.0,58.0,1
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,18.0,175.0,65.0,2
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,21.0,175.0,75.0,4
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,21.0,158.0,49.0,3
0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,21.0,148.0,40.0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,20.0,178.0,73.0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,21.0,150.0,45.0,2
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,21.0,160.0,65.0,2
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,22.0,155.0,46.0,2
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,19.0,164.0,54.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,21.0,161.0,68.0,3
0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,21.0,150.0,41.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,21.0,155.0,40.0,3
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,20.0,183.0,75.0,4
1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,19.0,165.09009,57.306305,3
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,19.0,153.0,48.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,19.0,150.0,50.0,6
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,19.0,170.0,50.0,3
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,19.0,160.0,70.0,3
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,21.0,165.0,62.0,2
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,20.0,173.0,50.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,19.0,164.0,69.0,3
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,18.0,174.0,66.0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,21.0,175.0,94.0,2
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,20.0,160.0,50.0,3
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,19.0,175.0,53.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,20.0,160.0,55.0,3
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,20.0,175.0,63.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,21.0,155.0,73.0,2
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,20.0,178.0,84.0,2
1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,20.0,178.0,56.0,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,10.0,165.09009,57.306305,0
0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,18.0,158.0,45.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,20.0,156.0,50.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,22.0,165.0,50.0,2
0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,25.0,165.0,65.0,5
0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,25.0,155.0,47.0,3
0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,25.0,155.0,47.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,19.0,162.0,46.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,20.0,255.0,54.0,4
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,20.0,162.0,52.0,1
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,20.0,169.0,79.0,2
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,20.0,152.0,50.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,19.0,164.0,58.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,22.0,161.0,63.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,23.0,146.0,40.0,3
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,20.0,153.0,47.0,3
0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,24.0,163.0,50.0,6
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,22.0,160.0,53.0,1
1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,17.0,175.0,62.0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,22.0,160.0,62.0,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,22.0,168.0,66.0,3
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,19.0,160.0,51.0,5
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,20.0,156.0,45.0,1
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,20.0,170.0,60.0,5
0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,20.0,158.0,45.0,2
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,20.0,158.0,65.0,1
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,22.0,170.0,70.0,6
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,21.0,165.0,55.0,4
0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,23.0,168.0,60.0,6
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,20.0,170.0,65.0,5
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,20.0,154.0,49.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,20.0,165.0,50.0,6
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,21.0,169.0,57.0,3
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,20.0,167.0,53.0,4
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,20.0,163.0,48.0,6
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,19.0,164.0,50.0,6
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,24.0,168.0,59.0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,21.0,170.0,62.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,23.0,158.0,46.0,4
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,23.0,157.0,47.0,2
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,22.0,165.0,55.0,1
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,19.0,165.0,56.0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,21.0,162.0,49.0,2
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,22.0,167.0,52.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,20.0,157.0,48.0,1
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,23.0,165.0,55.0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,19.0,168.0,55.0,0
0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,19.0,155.0,43.0,3
0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,19.0,162.0,45.0,2
1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,20.0,170.0,50.0,3
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,19.0,163.0,57.0,3
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,19.0,167.0,50.0,4
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,18.0,157.0,56.0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,20.0,155.0,40.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,21.0,156.0,48.0,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,20.0,167.0,60.0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,21.0,159.0,68.0,0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,21.0,157.0,41.0,3
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,21.0,173.0,60.0,4
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,20.0,168.0,67.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,21.0,160.0,45.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,20.0,150.0,42.0,3
1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,23.0,184.0,95.0,3
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,20.0,164.0,52.0,3
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,20.0,164.0,52.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,21.0,160.0,50.0,2
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,21.0,156.0,65.0,3
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,23.0,170.0,80.0,4
0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,24.0,150.0,60.0,3
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,20.0,180.0,85.0,3
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,21.0,176.0,93.0,2
1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,18.0,270.0,50.0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,20.0,148.0,49.0,3
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,20.0,148.0,49.0,3
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,20.0,174.0,68.0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,18.0,167.0,72.0,0
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,19.0,157.0,49.0,3
